100 10000
67 74 75
2 86 17
46 72 75
1 9 34
1 42 67
22 58 23
11 28 91
15 24 88
11 61 88
11 87 97
1 9 81
38 81 12
43 45 7
7 33 26
55 62 83
15 24 38
7 53 88
67 74 21
15 24 65
3 34 65
73 94 68
7 33 31
31 34 67
38 81 73
4 81 6
7 33 89
3 74 57
67 85 56
1 9 99
11 28 91
16 45 17
27 86 39
27 66 57
16 99 75
6 9 89
73 94 74
7 33 86
27 86 53
20 54 22
11 28 56
42 81 55
81 94 5
6 9 60
71 95 2
11 70 84
11 28 15
12 71 84
27 86 79
1 42 61
65 71 4
65 99 84
38 81 85
1 9 84
16 45 9
16 45 62
33 67 71
38 82 5
28 32 65
1 9 89
71 95 98
11 87 7
27 86 37
4 74 89
73 94 75
11 28 2
30 38 31
67 85 34
7 53 99
3 93 94
61 77 25
70 76 27
15 24 78
1 9 76
15 24 71
71 95 60
16 45 53
68 81 79
2 86 63
9 59 59
28 94 51
30 38 19
38 81 86
44 88 96
47 53 24
15 24 2
3 74 88
4 81 53
27 86 49
2 86 15
1 9 18
23 93 98
20 40 92
11 28 7
3 34 32
65 99 20
31 34 23
73 94 54
38 81 21
15 24 33
17 45 60
8 60 16
38 81 27
23 93 29
73 94 20
20 54 66
1 9 76
42 81 16
1 88 59
27 66 89
34 90 50
11 70 36
18 95 21
17 19 94
4 74 100
27 86 41
16 45 85
73 94 51
70 76 38
14 46 40
4 81 6
51 75 1
3 93 40
9 59 61
73 94 14
4 89 83
1 9 16
3 74 33
4 74 60
38 81 28
23 93 40
4 81 44
20 54 46
68 81 78
15 24 38
65 99 100
26 48 61
3 74 91
27 86 91
23 93 20
7 33 10
15 24 1
4 89 64
15 24 44
11 87 29
18 95 41
60 61 14
73 94 2
12 71 73
16 99 40
71 95 16
7 33 17
26 48 78
0 57 30
51 75 74
38 81 22
0 57 35
68 81 72
7 33 81
20 40 81
11 61 20
0 57 45
16 45 85
33 67 90
1 9 17
1 9 46
26 48 92
43 45 89
18 95 30
67 85 28
42 56 85
11 70 87
17 45 87
47 53 95
3 93 61
2 86 51
4 81 43
3 35 9
55 62 71
44 88 97
20 54 32
6 9 47
42 81 43
28 94 54
18 95 57
6 9 80
20 54 16
6 9 97
67 74 44
27 86 24
3 35 35
28 94 75
26 48 45
15 24 81
73 94 11
0 57 58
7 53 17
8 60 98
45 52 72
73 94 48
0 57 93
1 9 17
27 86 9
43 45 74
7 33 9
71 95 7
45 52 97
34 90 20
73 94 23
12 71 93
4 81 47
50 89 61
28 94 61
0 57 34
0 57 49
15 24 19
3 93 72
27 66 96
20 54 71
21 37 10
7 33 73
11 28 85
38 81 18
0 57 40
4 81 82
17 19 4
11 28 87
16 45 66
1 9 38
34 90 92
2 86 90
3 93 55
50 89 88
20 54 65
18 95 36
3 74 30
33 67 69
71 95 29
11 28 29
15 24 83
68 81 82
1 55 47
67 85 91
50 89 21
73 94 70
3 34 32
27 66 12
17 19 75
7 33 18
42 56 2
23 93 63
1 9 17
23 93 94
20 54 10
16 45 26
1 42 82
27 86 60
36 91 73
27 66 76
11 28 88
71 95 19
3 74 67
16 99 58
50 89 56
4 81 58
30 38 13
44 88 89
71 95 49
15 24 28
17 45 70
44 88 83
78 92 12
30 38 11
78 92 40
12 71 27
16 45 2
73 94 53
22 58 57
11 87 71
8 60 98
46 98 7
16 45 37
68 81 95
16 99 65
16 45 75
16 45 19
34 90 95
4 81 100
38 81 10
15 24 72
20 54 71
68 81 98
28 32 57
11 70 92
23 93 61
7 33 3
67 74 76
22 58 12
17 45 9
15 24 80
15 24 55
38 81 32
67 85 52
68 81 56
3 93 47
4 74 55
4 74 86
15 37 97
11 61 51
38 81 1
4 81 41
38 81 13
42 81 72
68 81 2
67 74 75
0 57 64
6 9 59
0 57 36
27 66 5
1 9 83
18 95 48
45 64 59
23 93 40
47 53 66
42 81 88
13 48 45
43 45 45
73 94 91
4 81 76
31 34 87
18 95 79
30 38 99
42 56 29
68 81 33
1 9 100
0 57 91
1 42 1
23 93 18
7 33 21
68 81 68
60 61 48
1 9 61
18 95 8
73 94 23
28 32 28
1 55 80
8 60 93
31 34 72
5 11 87
27 86 98
24 94 61
11 61 30
26 48 2
73 94 44
73 94 30
73 94 85
0 57 31
4 89 51
73 94 71
15 24 4
4 89 17
0 57 30
11 61 8
70 76 22
7 33 65
51 75 60
2 86 4
73 94 76
55 62 33
73 94 62
71 95 75
61 77 76
16 99 47
0 57 31
23 93 30
27 86 1
9 59 51
15 24 72
22 58 86
1 42 79
11 87 51
30 38 19
11 87 21
38 81 94
30 38 89
27 86 95
10 93 93
3 74 95
12 71 20
1 9 91
60 61 79
36 91 31
26 48 11
17 45 29
11 61 4
14 46 9
46 98 74
2 86 41
36 91 42
1 9 19
38 81 91
3 93 94
20 54 85
73 94 81
16 45 22
12 71 29
8 60 33
13 48 42
81 94 10
52 57 18
1 55 41
23 93 99
67 74 46
34 90 69
4 81 46
6 9 86
16 27 76
7 53 14
67 85 66
15 24 28
1 9 25
33 67 96
11 28 77
73 94 95
73 94 35
38 81 15
0 57 38
28 94 64
22 58 93
4 74 48
63 80 87
18 95 61
11 87 39
6 9 16
49 83 70
1 9 79
2 86 7
23 93 2
67 85 84
10 93 38
71 95 55
18 95 37
2 86 71
16 45 33
0 57 98
46 98 51
3 93 89
23 93 22
47 53 23
34 90 27
68 81 53
2 79 72
20 54 19
71 95 18
12 71 81
0 57 89
65 71 48
3 34 56
62 83 98
4 89 90
1 9 42
23 93 50
16 99 84
12 71 13
2 86 2
6 9 29
16 27 63
10 93 93
0 57 15
2 86 6
73 94 71
12 71 18
68 81 84
45 52 10
68 81 67
28 94 66
23 93 97
31 34 100
67 74 16
11 87 79
0 57 94
38 81 78
38 81 89
15 24 82
67 74 6
10 93 37
3 34 76
27 86 16
11 70 46
73 94 22
0 57 5
2 86 17
38 81 48
71 95 9
45 52 23
60 98 99
27 86 55
11 28 76
18 95 3
23 93 69
43 45 41
3 34 21
33 67 37
27 86 93
20 54 89
16 99 53
8 60 42
63 80 92
27 66 40
34 90 83
32 36 53
80 98 28
3 74 74
17 19 65
60 98 46
71 95 24
11 70 1
23 93 13
7 33 96
18 95 24
8 60 81
1 9 79
45 96 79
67 74 52
55 62 13
34 90 83
7 33 73
2 86 24
2 86 19
38 81 63
42 81 15
4 89 74
81 94 91
1 9 72
0 57 20
39 49 100
31 34 40
26 48 78
12 71 39
18 95 31
62 83 39
27 66 45
27 66 82
4 81 38
4 89 62
26 48 70
43 45 65
30 38 20
16 99 14
34 90 83
73 94 50
27 86 66
42 81 50
31 34 20
0 57 47
43 45 46
73 94 83
11 28 15
23 93 87
18 95 39
1 42 56
4 81 83
1 9 94
65 99 31
38 81 51
38 81 13
27 86 79
73 94 66
26 48 59
12 71 8
1 9 84
23 93 17
34 90 53
62 83 99
15 37 48
23 93 52
26 48 66
1 9 49
4 89 82
73 94 8
70 76 59
2 79 73
7 33 95
15 24 25
14 46 64
73 94 20
38 81 54
73 94 84
15 24 63
23 93 17
38 81 75
37 54 77
33 67 80
27 66 55
2 86 93
4 89 29
15 24 70
55 62 2
67 85 42
23 93 83
22 58 69
33 67 67
71 95 61
16 99 81
38 81 12
36 91 38
43 45 76
4 89 94
23 93 31
38 81 75
3 74 80
1 9 70
34 90 29
68 81 97
10 93 33
23 93 6
42 56 35
38 81 84
73 94 43
52 57 86
23 93 97
28 32 13
10 93 7
23 93 33
44 88 6
39 49 76
23 93 48
46 72 61
37 54 4
16 99 30
47 84 41
45 74 20
38 81 35
28 94 49
4 81 63
38 82 51
73 94 70
32 36 25
73 94 89
2 86 41
12 71 20
4 81 12
1 88 4
38 81 64
2 86 96
4 81 38
73 94 58
45 74 4
31 34 76
33 67 56
20 54 10
33 67 92
61 77 68
67 74 63
23 93 29
27 66 76
15 24 59
10 93 38
73 94 58
3 93 77
20 54 100
52 57 9
3 74 8
81 94 64
11 87 83
4 81 28
11 87 86
45 52 98
7 33 64
38 81 92
65 71 90
28 94 16
3 51 17
7 53 100
73 94 65
8 60 40
67 85 63
26 48 24
0 57 36
16 45 99
20 54 94
5 11 71
17 19 17
3 34 7
6 9 45
47 84 96
38 81 43
0 57 100
11 28 86
47 53 41
52 57 59
73 94 82
11 87 16
1 55 7
34 90 63
0 57 24
15 24 19
52 57 9
11 28 41
20 40 4
23 93 85
43 45 35
3 74 57
60 98 60
16 99 86
1 9 98
52 57 36
37 54 87
78 92 67
28 94 3
0 57 37
15 37 52
23 93 37
39 49 50
45 52 17
7 33 8
33 67 28
23 93 74
44 88 24
7 53 60
17 19 75
68 81 44
4 89 64
46 72 32
27 86 58
4 81 88
0 57 62
31 34 59
61 77 51
2 86 47
0 57 96
52 57 19
7 53 71
23 93 86
27 66 24
17 45 76
15 24 24
16 99 59
38 82 32
44 88 33
10 93 8
8 60 84
1 9 35
27 66 38
15 37 65
50 89 45
46 98 77
26 48 50
73 94 81
20 54 79
7 53 47
4 89 86
2 86 70
27 66 47
7 53 25
67 74 99
33 67 63
65 99 53
23 93 49
28 94 53
23 93 33
27 86 63
0 57 8
3 74 48
27 66 92
16 45 25
0 57 61
18 95 44
4 89 30
73 94 15
20 54 18
73 94 66
4 81 42
22 58 45
71 95 20
11 61 62
42 56 7
52 57 35
67 85 75
1 9 52
46 72 48
7 33 58
45 52 34
1 88 38
42 81 44
28 94 24
27 86 9
23 93 7
73 94 11
28 94 80
31 34 44
7 33 91
42 81 71
44 88 57
15 24 77
1 55 72
12 71 25
1 55 69
47 53 3
7 33 5
43 45 96
73 94 9
51 75 77
26 48 9
28 94 49
22 58 12
36 91 78
8 60 47
1 9 22
28 32 61
20 54 95
42 56 86
47 53 76
47 53 51
2 86 72
16 45 60
15 24 28
11 28 17
4 89 24
73 94 44
7 53 45
11 61 79
73 94 55
51 75 8
1 9 64
1 9 12
23 93 78
73 94 45
23 93 70
51 75 52
11 61 5
7 53 26
1 9 23
50 97 30
3 93 74
2 86 28
7 33 16
45 52 40
73 94 31
38 82 58
3 34 86
62 83 67
42 81 86
68 81 15
30 38 82
27 66 47
11 28 8
22 58 29
16 45 30
27 86 98
30 38 91
52 57 69
0 57 78
11 28 85
43 45 22
4 81 97
26 48 92
28 94 41
71 95 80
61 77 28
50 89 34
11 61 28
3 74 93
4 81 88
3 74 22
27 86 33
2 86 49
71 95 66
42 56 36
6 9 25
3 34 45
11 28 97
44 88 72
34 90 36
73 94 23
4 81 65
16 99 30
61 77 84
67 85 8
78 92 96
0 57 26
43 45 97
62 83 62
3 34 60
17 45 10
34 90 62
81 94 77
18 95 93
11 61 28
3 74 32
1 9 90
0 57 9
61 77 39
31 34 76
3 74 70
7 53 78
7 53 17
3 93 83
38 81 65
1 9 46
11 61 41
11 61 15
18 95 98
0 57 39
1 88 14
52 57 65
73 94 51
73 94 2
11 87 92
38 81 4
13 40 39
7 53 58
38 81 49
81 94 16
52 57 84
68 81 75
27 66 85
33 67 54
15 37 44
23 93 21
27 66 79
14 46 20
25 75 24
4 89 47
27 86 75
23 93 16
4 89 48
73 94 88
70 76 40
0 57 28
14 46 14
62 83 74
71 95 27
67 85 2
42 56 73
1 88 81
65 71 39
46 72 2
63 80 38
15 24 95
52 57 84
45 52 97
27 86 65
3 74 54
45 52 10
2 86 47
55 62 74
18 95 60
45 52 95
2 86 2
7 33 8
11 61 56
11 61 85
1 55 30
0 57 76
7 33 56
18 95 79
28 94 81
2 86 7
18 95 51
78 92 56
15 24 24
31 34 37
7 33 12
31 34 73
15 24 59
23 93 42
45 74 37
81 94 16
17 45 22
38 82 99
12 71 84
20 54 69
27 86 1
27 86 78
73 94 25
4 81 10
12 71 12
4 74 79
23 93 53
17 45 39
38 82 36
51 75 3
65 71 50
4 74 27
23 93 77
1 9 80
31 34 11
22 58 23
11 28 49
4 89 55
1 9 74
68 81 84
23 93 22
16 99 54
27 66 77
20 54 77
1 9 64
3 74 96
8 60 3
73 94 39
7 53 38
1 55 38
11 28 25
7 33 96
16 99 43
18 95 34
5 11 70
27 66 71
11 70 93
16 99 88
4 81 47
7 33 82
0 57 6
61 77 50
1 9 39
73 94 32
1 9 59
31 34 48
10 93 47
17 45 58
67 74 90
3 93 92
2 86 90
7 53 68
45 52 39
15 37 56
67 85 25
0 57 81
26 48 27
3 93 13
73 94 94
60 98 22
42 81 42
10 93 4
15 24 62
2 86 9
60 98 59
23 93 21
15 24 81
1 42 95
15 37 98
31 34 9
2 86 2
30 38 44
30 38 83
4 81 50
11 28 93
27 86 64
67 85 74
11 87 45
71 95 42
0 57 37
42 56 59
62 83 93
3 74 18
42 81 21
30 38 90
73 94 59
44 88 24
37 54 62
80 98 31
1 9 4
2 86 26
38 81 20
7 53 65
6 9 69
2 86 99
68 81 80
11 61 6
33 67 39
36 91 71
28 94 57
4 81 77
2 86 8
73 94 46
20 54 61
6 9 31
3 74 57
52 57 5
9 59 43
22 58 58
20 54 30
17 45 62
17 45 76
71 95 8
7 53 44
11 61 15
1 55 69
17 45 64
1 55 68
16 45 30
20 54 99
7 33 92
27 66 13
73 94 24
22 58 26
27 86 36
1 9 12
68 81 8
20 40 68
18 95 6
73 94 8
42 56 71
39 49 66
67 74 48
65 71 92
23 93 3
38 81 32
22 58 26
3 74 40
11 28 29
61 77 2
46 72 48
71 95 52
27 86 12
1 9 55
78 92 5
71 95 24
11 61 87
13 40 46
1 88 45
8 60 51
46 72 27
11 28 46
0 57 30
13 48 96
68 81 39
2 86 26
60 98 50
45 96 42
8 60 57
15 24 58
52 57 5
2 86 40
33 67 94
45 52 68
55 62 43
45 52 51
27 86 93
68 81 59
68 81 28
60 61 8
38 81 56
46 72 84
26 48 40
27 86 78
71 95 60
18 95 62
20 54 10
44 88 66
1 9 93
2 86 12
12 71 44
68 81 23
12 71 83
2 86 33
26 48 18
2 86 49
10 93 28
38 81 99
44 88 93
22 58 10
20 54 93
27 86 14
16 99 22
4 89 83
68 81 83
0 57 73
11 28 59
27 86 77
67 74 100
21 37 88
28 94 58
0 57 23
14 46 23
25 75 57
24 94 2
68 81 25
23 93 90
5 11 60
3 93 63
22 58 8
45 52 35
4 81 69
20 54 75
26 48 49
45 96 14
1 9 25
78 92 74
28 94 64
42 56 29
11 28 13
23 93 18
71 95 73
34 90 66
11 61 20
23 93 73
45 52 41
15 37 62
45 52 93
18 95 72
71 95 7
17 19 91
78 92 76
37 54 18
73 94 27
4 89 29
73 94 33
15 24 9
7 53 85
4 74 86
28 94 2
51 75 21
1 9 71
44 88 57
20 54 71
38 82 19
73 94 96
20 54 19
0 57 25
23 93 36
61 77 29
73 94 41
4 89 17
11 87 80
3 34 86
0 57 2
16 99 92
47 84 38
38 81 58
73 94 8
42 56 90
23 93 18
0 57 45
13 40 80
12 71 94
73 94 82
0 57 10
10 93 35
28 32 65
23 93 38
28 94 61
43 45 16
73 94 92
2 86 15
17 45 71
8 60 51
43 45 26
73 94 59
8 60 13
68 81 76
4 89 15
27 66 95
71 95 76
1 55 18
27 86 82
27 66 33
29 50 46
3 34 7
38 81 57
23 93 25
26 48 74
73 94 100
1 88 26
44 88 28
15 24 98
3 93 89
7 53 96
12 71 65
11 28 94
45 52 100
1 9 20
73 94 60
15 24 66
16 45 64
3 74 10
3 74 16
23 93 8
50 89 94
45 52 76
12 71 97
61 77 96
1 55 91
81 94 89
4 89 95
1 42 49
73 94 100
28 94 88
26 48 62
49 83 28
7 33 43
68 81 68
4 89 63
67 74 9
1 9 27
20 54 48
20 54 83
27 66 42
67 85 27
43 45 44
16 99 71
3 74 97
44 88 68
13 40 42
67 74 57
42 56 7
10 93 86
13 40 48
15 24 99
27 86 6
15 24 37
15 24 35
0 57 33
20 40 43
12 71 85
50 89 80
17 45 48
68 81 84
43 45 19
71 95 16
28 94 47
15 24 13
45 52 15
11 61 41
81 94 70
1 55 43
61 77 16
33 67 69
70 76 75
73 94 63
12 71 99
16 99 43
73 94 17
23 93 77
11 61 48
23 93 60
38 81 38
73 94 52
45 52 57
38 81 21
11 28 77
0 57 13
3 34 93
20 54 6
23 93 29
4 89 57
16 99 14
46 72 52
28 32 59
28 32 9
71 95 84
15 24 16
27 66 59
4 81 1
73 94 35
26 48 64
50 89 92
47 53 13
65 99 47
15 24 91
27 66 27
4 81 62
26 48 83
1 9 17
67 85 37
1 9 96
20 40 63
73 94 17
71 95 70
27 86 66
1 9 91
12 71 18
3 93 83
60 61 58
28 94 33
16 99 93
0 57 31
12 71 48
23 93 27
14 46 93
3 51 74
32 36 40
11 28 99
18 95 98
45 52 38
38 81 30
20 54 99
15 24 36
70 76 8
73 94 69
28 94 49
17 19 48
68 81 40
0 57 97
47 53 96
0 57 65
42 81 61
0 57 20
45 52 34
73 94 33
12 71 11
4 81 45
11 87 50
36 91 95
1 9 30
1 42 59
50 89 62
30 38 57
67 74 51
33 67 72
1 9 22
0 57 2
16 45 87
34 90 73
46 72 50
9 59 6
23 93 94
73 94 79
27 66 43
60 98 71
11 87 10
45 52 12
2 86 97
1 9 88
18 95 37
3 74 40
0 57 74
78 92 5
7 33 19
11 61 88
11 87 4
17 19 13
61 77 30
17 19 8
27 66 32
30 38 52
3 74 44
39 49 53
39 49 55
20 54 1
68 81 23
15 24 10
73 94 79
26 48 29
38 81 21
15 37 8
10 93 96
38 81 78
17 19 97
23 93 54
17 19 59
10 93 51
73 94 6
71 95 59
3 51 28
7 33 17
71 95 67
15 24 6
71 95 81
27 66 27
7 33 37
52 57 56
15 24 97
3 51 87
73 94 86
43 45 40
4 81 39
26 48 92
73 94 7
3 74 77
45 74 36
20 54 13
42 81 33
46 72 18
73 94 92
61 77 80
15 24 4
38 81 62
0 57 46
1 9 36
41 70 88
27 86 39
61 77 86
20 54 16
11 28 37
45 52 40
9 59 1
4 74 5
67 74 42
4 81 16
4 89 96
42 56 64
73 94 82
7 53 31
68 81 42
3 93 21
23 93 20
7 33 92
73 94 32
16 99 32
46 98 6
43 45 53
11 28 14
68 81 33
8 60 81
0 57 83
2 86 28
68 81 11
45 96 88
4 81 73
1 9 14
1 9 91
15 24 38
27 86 24
18 95 22
11 61 24
68 81 25
38 81 32
71 95 89
38 81 11
7 53 6
3 74 74
60 61 33
10 93 51
11 70 18
1 88 15
43 45 50
32 36 87
28 94 32
67 85 45
43 45 75
4 74 40
73 94 77
20 54 34
1 55 92
11 61 82
17 45 5
16 99 49
3 34 83
11 28 24
1 55 57
4 74 94
26 48 72
67 74 8
15 24 16
28 32 74
67 85 1
31 34 45
2 86 92
4 74 44
20 54 55
16 99 55
33 67 90
3 93 62
55 62 67
0 57 18
30 38 18
12 71 87
11 28 33
33 67 91
18 95 2
38 81 7
60 98 32
17 19 60
15 24 96
68 81 17
27 86 15
71 95 95
28 94 43
38 81 41
15 24 72
44 88 33
11 87 71
2 86 78
26 48 78
55 62 21
43 45 54
45 52 99
31 34 97
52 57 61
30 38 29
23 93 22
23 93 19
23 93 70
20 40 70
0 57 35
7 33 57
15 24 47
45 96 4
73 94 7
11 87 4
7 33 7
2 86 53
26 48 85
11 87 39
4 81 32
26 48 24
32 36 40
10 93 66
1 55 44
67 85 11
11 28 11
1 9 69
23 93 55
23 93 55
73 94 91
15 24 71
50 89 36
18 95 35
31 34 11
23 93 80
42 81 21
38 81 72
20 54 92
11 87 58
4 81 99
67 85 88
4 89 55
4 89 85
71 95 87
21 37 78
1 9 51
61 77 35
27 66 82
9 59 21
15 24 59
73 94 15
73 94 95
20 40 67
1 42 73
71 95 9
45 74 62
60 98 7
4 81 90
22 52 60
67 74 70
7 33 76
73 94 90
28 32 88
67 85 45
44 88 13
31 34 21
0 57 75
15 24 84
0 57 21
4 89 60
67 74 83
4 81 18
21 37 74
3 35 26
61 77 69
27 66 30
34 90 19
39 49 67
38 81 93
67 85 37
12 71 44
17 45 50
38 81 6
42 81 30
27 66 47
2 86 30
16 99 41
32 36 72
20 54 33
15 24 51
11 28 14
12 71 42
4 81 10
73 94 4
15 24 19
1 55 14
36 91 17
7 33 42
1 9 2
12 71 77
28 32 44
42 81 32
2 86 22
67 74 48
11 28 61
7 53 37
38 81 58
20 54 19
16 45 3
31 34 62
11 70 18
12 71 34
11 28 56
73 94 1
55 62 39
11 87 33
1 9 23
28 94 65
80 98 65
38 81 58
15 37 13
46 72 41
38 82 23
43 45 74
23 93 45
34 90 35
10 93 48
17 19 53
26 48 78
34 90 61
16 99 65
42 56 91
78 92 38
72 78 58
28 94 8
73 94 20
68 81 12
4 81 84
18 95 52
70 76 60
4 81 26
4 81 10
47 53 11
23 93 7
30 38 85
0 57 69
73 94 45
73 94 36
67 85 27
32 36 13
55 62 50
12 71 85
0 57 56
15 24 9
68 81 35
7 33 8
1 9 89
42 56 37
33 67 37
27 66 93
1 88 98
1 9 79
73 94 44
68 81 87
8 60 89
4 89 56
23 93 36
55 62 54
45 52 68
4 81 18
61 77 39
7 33 83
71 95 16
42 81 98
4 89 31
28 32 44
50 89 29
11 28 50
12 71 34
4 89 58
4 74 59
73 94 41
10 93 95
1 9 83
68 81 18
14 46 58
11 28 34
17 45 22
61 77 94
4 81 80
28 32 53
73 94 39
68 81 33
67 85 19
23 93 67
73 94 93
3 93 67
26 48 81
23 93 75
12 71 70
46 72 5
68 81 11
16 45 75
71 95 9
18 95 14
1 55 90
27 66 22
78 92 79
18 95 26
7 53 35
0 57 16
1 55 8
16 99 44
73 94 19
27 86 32
23 93 58
12 71 71
20 54 53
7 33 40
31 34 72
12 71 93
31 34 58
4 81 49
4 89 61
30 38 85
55 62 2
38 81 46
38 81 5
27 66 75
1 9 92
7 53 92
42 56 89
4 81 90
0 57 100
23 93 24
39 49 81
26 48 90
25 75 67
2 86 45
11 61 6
42 81 76
27 86 13
28 94 100
25 75 46
45 52 76
47 53 74
27 86 46
18 95 5
67 74 6
9 59 45
73 94 21
11 61 76
12 71 13
17 45 37
67 85 95
61 77 81
6 9 80
81 94 87
2 86 81
3 51 90
11 61 45
15 24 79
43 45 84
15 37 89
27 86 72
3 74 57
3 34 82
18 95 53
45 52 82
1 42 43
38 82 79
67 74 84
22 58 5
39 49 55
11 28 30
3 74 20
38 81 65
73 94 81
4 81 12
38 81 53
73 94 64
16 45 95
43 45 69
12 71 36
71 95 81
23 93 39
14 46 75
1 88 59
67 74 34
23 93 87
2 86 91
18 95 45
67 85 78
23 93 53
11 87 22
68 81 9
38 81 59
78 92 69
27 66 20
15 37 71
28 94 17
73 94 23
0 57 45
27 66 17
11 28 59
4 89 49
27 86 46
13 40 6
16 45 86
7 53 34
7 33 15
67 85 65
4 81 76
30 38 23
15 37 91
4 81 66
65 71 27
27 86 23
15 24 72
47 53 13
15 24 89
27 86 86
10 93 58
2 86 86
23 93 72
8 60 10
52 57 14
12 71 26
18 95 42
22 58 61
38 81 68
73 94 24
61 77 95
15 24 15
67 74 42
33 67 34
13 40 54
20 54 97
12 71 32
26 48 55
67 74 95
39 49 4
23 93 82
16 45 45
12 71 44
24 94 56
45 52 9
7 33 100
70 76 19
8 60 40
61 77 22
12 71 21
3 93 35
15 24 91
11 28 96
13 48 9
31 34 21
55 62 82
14 46 57
16 45 6
20 54 30
4 74 80
73 94 60
13 48 96
73 94 36
11 28 35
1 9 94
62 83 38
68 81 76
38 81 84
34 90 48
45 52 32
18 95 52
15 37 75
73 94 53
44 88 41
38 81 37
4 89 46
42 81 77
31 34 58
42 56 79
7 53 44
17 45 62
7 53 78
15 37 64
17 45 90
52 57 34
67 85 89
38 81 75
42 56 32
80 98 70
7 53 40
20 54 55
4 81 3
36 91 58
15 24 31
1 9 49
23 93 27
3 93 78
38 82 1
3 74 51
11 87 61
4 89 38
42 81 73
4 89 37
7 53 15
43 45 5
2 86 78
28 94 14
43 45 46
60 61 65
68 81 6
38 81 24
14 46 30
67 74 39
38 82 76
17 45 53
7 33 88
15 37 20
67 85 88
65 99 80
67 85 42
23 93 29
3 35 44
61 77 84
20 40 77
67 74 4
16 99 88
0 57 92
0 57 32
11 28 2
55 62 32
73 94 23
1 9 17
45 52 21
60 98 94
7 33 71
2 86 36
47 53 61
27 86 87
0 57 69
23 93 96
45 52 39
4 89 30
23 93 3
67 85 26
23 93 13
7 53 24
10 93 78
71 95 45
31 34 6
20 54 48
44 88 43
15 24 3
65 71 67
42 81 67
7 33 98
51 75 71
4 89 3
4 89 72
2 86 99
45 52 92
38 82 12
12 71 46
4 89 34
