100 1000
56 89 19
3 92 1
8 19 82
75 96 51
45 94 16
37 86 96
7 56 88
4 95 28
33 51 56
30 80 70
34 85 41
9 44 62
77 89 89
84 87 37
36 78 82
12 26 25
64 97 92
34 58 49
16 38 30
55 80 34
36 44 20
49 87 46
29 58 57
34 42 72
8 12 94
66 72 98
50 99 84
1 39 61
25 47 58
7 80 44
65 71 2
10 17 12
4 18 65
2 45 19
75 97 62
11 65 55
77 82 52
35 84 49
65 81 43
0 20 93
33 63 17
15 25 31
11 17 21
29 97 54
7 22 1
52 90 10
49 91 66
13 24 52
35 69 82
67 82 72
4 49 10
18 29 30
88 99 58
60 89 37
28 89 95
75 90 20
14 86 13
75 80 77
37 87 10
44 50 9
3 24 65
18 38 91
35 93 91
4 30 29
72 96 28
6 12 45
5 78 23
53 57 87
27 52 92
30 97 91
17 82 9
5 42 60
21 86 38
1 33 74
51 54 62
58 80 54
14 52 84
25 33 57
61 90 30
22 39 72
40 81 10
31 67 86
36 46 32
53 65 7
27 55 28
48 94 59
5 53 30
7 69 2
0 58 15
43 99 85
3 73 87
91 93 59
23 24 73
59 82 87
40 41 18
61 71 81
46 64 79
53 77 80
46 88 100
67 96 47
41 93 98
6 16 30
15 80 86
54 71 87
88 92 61
29 30 99
24 93 36
71 99 92
5 56 83
6 82 98
7 32 2
22 86 93
63 84 37
37 92 24
25 61 94
46 57 51
39 48 63
3 82 69
32 97 18
9 62 83
38 68 40
78 94 1
9 18 16
22 66 97
14 87 99
11 62 7
57 64 75
17 57 85
86 91 58
0 38 33
44 46 22
20 85 59
27 39 42
11 80 91
17 90 45
2 70 50
36 71 74
35 56 74
63 64 52
8 11 19
46 97 29
34 90 42
17 65 21
52 88 21
49 55 89
46 47 48
9 19 89
12 14 29
59 98 94
90 96 62
19 93 18
18 34 26
8 42 72
0 27 69
52 77 36
8 55 23
9 77 55
10 18 20
46 71 94
43 89 65
54 89 81
26 70 70
14 41 36
7 31 32
18 87 86
60 87 82
69 73 92
74 81 95
22 61 23
31 45 16
11 29 50
55 89 76
23 95 11
1 53 25
0 28 81
42 89 10
53 78 88
13 54 63
4 75 3
7 70 57
55 71 18
49 63 27
6 32 32
15 48 81
6 38 52
55 61 16
89 98 88
0 67 15
52 76 60
81 95 97
24 74 95
46 51 85
0 4 52
91 92 21
41 78 43
36 48 69
81 83 32
20 80 74
72 74 45
34 53 4
4 41 61
42 76 27
18 47 97
59 76 86
28 91 89
86 99 22
42 45 68
22 36 58
71 74 13
2 51 10
35 64 67
1 86 4
24 68 91
21 22 71
40 78 67
11 27 6
1 3 26
18 33 20
1 55 23
31 34 83
56 79 67
49 80 23
14 17 10
42 77 69
6 55 36
18 63 44
3 32 58
65 94 19
1 54 4
25 39 48
25 38 30
18 97 82
56 75 33
24 88 68
8 23 5
48 57 89
27 76 82
0 16 49
70 93 39
33 60 63
29 85 76
48 84 11
40 98 14
25 65 93
30 48 53
17 24 23
35 90 74
81 88 66
51 67 24
7 89 36
33 35 1
65 79 6
54 83 68
37 73 25
12 81 35
2 86 88
31 50 55
3 4 93
62 93 37
5 50 100
60 97 3
12 90 47
60 82 85
19 45 73
20 23 98
8 81 20
0 6 34
31 70 77
45 80 39
72 93 24
24 94 55
22 90 77
56 85 93
4 25 64
17 29 51
10 54 72
15 88 11
4 10 59
42 47 66
13 46 21
47 59 49
9 70 48
29 69 39
12 76 93
30 82 91
17 22 44
33 34 77
28 56 23
28 69 59
52 71 46
55 86 37
10 25 54
28 49 41
60 61 87
81 90 31
14 71 73
43 90 4
43 67 77
10 64 13
26 32 6
21 22 88
27 94 100
55 91 38
